Country,Year_1,Month_1,type,Event Category,EventDescription
Latvia,2018,December,Resistance,State attempts to prevent backsliding,"After learning that Prime Ministerial nominee Aldis Gobzems planned to shut other parties out of the government, they announced that they would not support a Gobzems-led government, and President V?jonis rescinded his nomination for the candidate. Ultimately, Arturs Karins, a pro-EU centrist, took his place and formed a government without Gobzems, essentially casting him out of government."
Latvia,2018,Unknown,Precursor,Polarization,"Despite the ethnic Russian Harmony party winning a plurality of seats in the 2018 elections, they never received a mandate to form a government, and ethnically-Latvian parties have consistently refused to join a Harmony-led coalition, further stoking divisions along ethnic lines."
Latvia,2018,NA,Precursor,Horizontal corruption,"ABLV bank was accused of money laundering by the US Treasury Department, and consequently liquidated under pressure from Latvian regulatory agencies"
Latvia,2019,January,Resistance,Coalitions or elite pacts,"A deal was made for a center-right coalition to rule the country, ending the pattern of deadlock that had occurred for years"
Latvia,2019,February,Resistance,Check on executive by judiciary,The European Court of Justice ruled that Latvia violated an EU law by removing Ilmars Rimsevics from his post as governor of the Central Bank without producing evidence of corruption.
Latvia,2019,September,Symptom,Discrimination against minorities,"The passing of the education law, which was introduced by the National Alliance Party, enforced a new standard that there should be a full transition to the Latvian language in all education levels, substantially inhibiting the ability of ethnic Russians and other minorities who do not speak Latvian to learn."
Latvia,2019,November,Precursor,Horizontal corruption,"Ilmars Rimsevics, the former chief of the Central Bank, appeared in court after being accused of accepting a 500,000 euro bribe and taking a paid holiday in Russia. Both the Prime Minister and the judiciary were accused of deliberately delaying his case"
Latvia,2019,November,Symptom,No-confidence votes or decreased voter turnout,"Former mayor of Riga, Olegs Burovs, survived a vote of no-confidence after multiple scandals involving municipal-owned businesses began eroding local confidence in his governance."
Latvia,2019,November,Resistance,State attempts to prevent backsliding,Latvia's Parliament passed a law granting automatic citizenship at birth to children who are born to parents considered non-citizens.
Latvia,2019,December,Precursor,Delegitimizing or weakening subnational units,"Environmental Protection and Regional Development Minister Juris P?ce called for the dissolution of the Riga City Council, citing the lack of waste management workers and resulting environmental crisis as the justification."
Latvia,2020,March,Precursor,Economic shocks and health shocks,COVID-19 has caused Latvian's economy to contract by double-digit percentages over multiple years.
Latvia,2020,March,Symptom,Curtailed civil liberties,"As part of a state of emergency declared to combat the spread of COVID-19, the Latvian government restricted gatherings of more than 25 people and closed beauty care and similar businesses."
Latvia,2020,November,Symptom,Media repression,"Latvian media regulators engaged in legal action against seven employees of Rossiya Segodnya, accusing them of spreading pro-Russian propaganda and violating EU sanctions"
Latvia,2020,December,Resistance,Nonviolent protest,Approximately 300 people gathered in the capital city of Riga to protest restrictions that were put in place as part of a nation-wide state-of-emergency designed to counter the spread of COVID-19.
Latvia,2021,April,Precursor,Vertical corruption,"29 border officers at the Latvian-Russian border were detained, and 21 ultimately became suspects, as part of a corruption case conducted by the Latvian State Revenue Service. Officials at the border checkpoint were found to have accepted bribes and other forms of material wealth for themselves and other relatives in exchange for letting vehicles pass through without inspection."
Lebanon,2002,April,Destabilizing Event,Regional unrest spillover,Hezbollah launched attacks on Israeli forces along the Lebanon-Israel border near the disputed Golan Heights
Lebanon,2002,April,Resistance,Nonviolent protest,Protests erupt in Beirut after Hezbollah launches attacks on Israeli forces; civilians protest U.S. support of Israel and perceived unchecked Israeli aggression
Lebanon,2004,May,Destabilizing Event,Extremist/populist parties,"In the 2004 municipal elections, Hezbollah, a recognized terrorist group and political party, gained control of a large number of municipalities in Southern Lebanon."
Lebanon,2005,February,Resistance,Violent protest,"In the Cedar Revolution, mass protests by the Lebanese people call for the withdrawal of Syrian forces that have been occupying Lebanon for almost thirty years and for an investigation into the assassination of Prime Minister Hariri
"
Lebanon,2005,February,Destabilizing Event,Non-state violence,Former Prime Minister Rafic Hariri was assassinated by a bomb blast; a link was found between the Syrian government and the assassination in the United Nations investigation by the Special Tribunal for Lebanon
Lebanon,2005,February,Resistance,Nonviolent protest,"Mass protests, known as ""The Cedar Revolution,"" broke out following the killing of former Lebanese Prime Minister Rafic Hariri. Protesters blamed Syria and its large presence in the country for the assassination. The protestors demanded (1) resignation of the ruling Lebanese government, (2) military withdrawal of the Syrians, (3) an international UN tribunal to investigate Hariri’s death, and (4) resignation of the heads of the intelligence services."
Lebanon,2005,March,Resistance,Coalitions or elite pacts,"Lebanon’s parliament formed a religiously diverse coalition called the March 8 Alliance, which included the majority Shia Muslim and Christian groups in the country."
Lebanon,2005,March,Resistance,Coalitions or elite pacts,"After Israeli forces withdrew from the country, a number of anti-Syrian and independent parties formed the March 14 coalition, which was able to form a government with pro-Western  sentiments."
Lebanon,2005,March,Destabilizing Event,External influence or Invasion,The March 8 Alliance is formed as a coalition of political parties with pro-Syrian stance and their opposition to the US and Saudi-backed March 14 Alliance
Lebanon,2006,March,Resistance,Nonviolent protest,March 8 supporters protested the lack of a national unity government and pushed back on western claims of Syrian involvement in Lebanese politics
Lebanon,2006,July,Destabilizing Event,Non-state violence,"The Israeli-Hezbollah war occurs after Hezbollah enters Israel, killing 3 Israeli soldiers and capturing two; fighting lasts for 34 days"
Lebanon,2007,November,Precursor,Lack of legitimacy,Pro-Syrian opposition boycotted the presidential election for president.
Lebanon,2008,May,Resistance,Coalitions or elite pacts,"Rivaling Lebanese political factions including Hezbollah-led Shiite opposition and the current government signed an agreement that ended an 18 month sit-in to create a government composed of 16 cabinet seats for the ruling majority, 11 for the opposition and three to be nominated by the new president. The agreement provided Hezbollah with far more power, but ultimately prevented possible civil war"
Lebanon,2008,May,Resistance,Violent protest,Protests between Hezbollah supporters and security forces turned violent
Lebanon,2008,September,Resistance,Increase in electoral integrity,"The parliament approved a new election law to alter the boundaries of voting districts, introduce campaign finance, and improve media regulations"
Lebanon,2009,June,Precursor,Lack of legitimacy,"Caught in between Iran and Saudi Arabia, the parliament postponed elections three times after 2009"
Lebanon,2009,November,Resistance,Coalitions or elite pacts,A new unity government is formed by newly appointed Prime Minister Saad Hariri and includes 30 members from different political parties
Lebanon,2009,November,Destabilizing Event,Extremist/populist parties,"The new unity government, which includes 30 members from different political parties, includes 10 seats for Hezbollah, a Shia Islamist political party and violent militant group"
Lebanon,2010,Unknown,Precursor,Delegitimizing or weakening subnational units,No municipal elections were held during this period
Lebanon,2010,Unknown,Destabilizing Event,Refugee crisis,"After the Arab Spring in neighboring countries, refugees crossed into Lebanon, including over 1.5 million from Syria; (this influx also raised poverty rates across Lebanon)"
Lebanon,2010,Unknown,Precursor,Ethno-religious tensions,"The millions of Sunni Syrian refugees in Lebanon exacerbate tensions in the country, with many Lebanese accusing them of stealing jobs and threatening the fragile stability between religious sects"
Lebanon,2011,January,Precursor,Lack of legitimacy,All pro-Hezbollah ministers resigned in protest of the results of a UN tribunal investigating the assassination of former Prime Minister Rafik Hariri.
Lebanon,2011,March,Precursor,State-conducted violence or abuse,"In March 2011, the Lebanese government cracked down violently on protests inspired by the ongoing Arab Spring."
Lebanon,2011,April,Destabilizing Event,Refugee crisis,"The Syrian refugee crisis strained Lebanon immensely, with 700,000 refugees arriving by 2011, and more than 1 million (nearly one quarter of the country's population) arriving by 2014.
"
Lebanon,2011,April,Resistance,Nonviolent protest,"Inspired by Arab Spring revolts elsewhere, Lebanese civilians take to the streets to protest the entrenched regimes/systems of sectarian politics"
Lebanon,2011,April,Destabilizing Event,External influence or Invasion,"The Arab Spring consisted of a series of protests and uprisings throughout the Middle East and North Africa, beginning in late 2010. Many countries had protests or rebellions as part of the Arab Spring, including Lebanon, whose Uprising of Dignity protests in 2011 were seemingly influenced by the Arab Spring."
Lebanon,2012,July,Destabilizing Event,Refugee crisis,"Beginning in the summer of 2012, the Syrian refugee crisis began to spill over into Lebanon due to deadly clashes between Sunni Muslims and Alawites in Tripoli and Beirut, Lebanon. About 1 million Syrians have sought refuge in Lebanon, and now cover approximately 1/4 of Lebanon’s entire population. This has exacerbated pre-existing tensions in a country with a weak economy and complex political situation."
Lebanon,2012,NA,Destabilizing Event,Refugee crisis,"Following the onset of Arab Spring protest movements, Lebanon became the host to large refugee influxes."
Lebanon,2014,April,Symptom,Media repression,Many high-ranking politicians as well as outside and regional powers such as Saudi Arabia and Hezbollah raised defamation lawsuits against journalists.
Lebanon,2014,April,Symptom,Media repression,At least eight journalists were physically attacked by security forces while reporting on demonstrations.
Lebanon,2014,June,Precursor,Polarization,The government came to a standstill as the pro-Syrian and anti-Syrian factions of the government could not compromise and vote on a candidate for president.
Lebanon,2014,November,Destabilizing Event,External influence or Invasion,Parliament deemed the Syrian Civil War a security concern to justify its suspension of elections.
Lebanon,2014,Unknown,Precursor,Party weakness,"After the term of President Michel Suleiman, the country has no President for two years"
Lebanon,2014,Unknown,Precursor,Lack of legitimacy,"During the period with no President, basic government services were neglected, such as trash collection; feelings of government corruption and mismanagement were widespread"
Lebanon,2015,July,Precursor,Lack of legitimacy,Lebanon struggled to take care of basic services such as waste disposal
Lebanon,2015,August,Resistance,Nonviolent protest,"In August, thousands of demonstrators filled the streets of Beirut. Protests were organized under the “You Stink!” movement and came to encompass issues broader than trash collection, such as corruption and inefficiency in government."
Lebanon,2015,NA,Symptom,Media repression,50 websites have been blocked throughout Lebanon based on their content. Notable examples include 11 Israeli sites and one site that provided a forum for LGBTI people in the Arab region.
Lebanon,2016,May,Symptom,Media repression,Human rights activist Nabil al-Halabi was arrested in the summer of 2016 for a Facebook post criticizing the interior ministry for corruption. Al-Halabi was detained for four days until he signed a pledge to not criticize the government going forward.
Lebanon,2016,October,Symptom,Media repression,"Lebanon has seen a recent increase in crackdowns on freedom of the press, with over 90 prosecutions against journalists since October 2016, and 62 prosecutions in 2018 alone."
Lebanon,2016,October,Precursor,Lack of legitimacy,A political standoff left Lebanon without a president for two years
Lebanon,2016,November,Precursor,Delegitimizing or weakening legislature,"While the 2016 presidential elections were held, already-overdue parliamentary elections were put off until 2018, severely undermining the legitimacy of the legislative body."
Lebanon,2017,January,Precursor,State-conducted violence or abuse,Human Rights Watch has documented ten cases of civilians being tortured while awaiting trial in military courts.
Lebanon,2017,December,Destabilizing Event,External influence or Invasion,"Prime Minister Saad Hariri was forced to read a pre-written resignation speech while he was on a trip to Saudi Arabia, a political ploy by Saudi Arabia to express Crown Prince Mohammed bin Salman's displeasure with Hariri's handling of Hezbollah. Hariri later rescinded his resignation when back in Lebanon."
Lebanon,2017,NA,Symptom,Systemic reduction in election freedom and fairness,The Parliament opted to delay elections on three separate occasions under pretenses that domestic and foreign observers deemed unconstitutional.
Lebanon,2018,September,Symptom,Curtailed civil liberties,"In September 2018, in accordance with harsh anti-LGBT crackdowns, General Security (a Lebanese intelligence agency) attempted to shut down an annual NEDWA conference of the Arab Foundation for Freedoms and Equality. NEDWA works to ""advance LGBT and other human rights.”"
Lebanon,2018,NA,Resistance,Pressure from outside actor,"In February 2019, the US Department of State called on Lebanese Hezbollah to ensure ministry resources do not provide support to the terrorist organization."
Lebanon,2019,January,Resistance,Coalitions or elite pacts,The Lebanese government formed a large national unity coalition that includes all parties from the March 8 and March 14 alliances
Lebanon,2019,April,Destabilizing Event,Economic shocks and health shocks,"Partially driven by ongoing refugee crises and widespread corruption, food prices in Lebanon rose 402% in a two-year period."
Lebanon,2019,October,Resistance,Nonviolent protest,"The October Revolution sees over a million civilians protesting across Lebanon, angry at their government, with some calling for the government to step down"
Lebanon,2019,October,Resistance,Nonviolent protest,Thousands of protesters denounced and criticized the government for a number of transgressions
Lebanon,2019,October,Resistance,Nonviolent protest,"In light of the economic strain felt by the majority of Lebanese citizens and newly-announced taxes on common purchases, thousands of citizens took to the streets in protest, calling for the resignation of the Prime Minister and members of the cabinet."
Lebanon,2019,October,Precursor,Lack of legitimacy,Prime Minister Hariri resigns after anti-government protests sparked by his policies
Lebanon,2019,October,Symptom,Curtailed civil liberties,"Amidst rising inflation, the government announces a tax of six dollars a month on internet voice-call services (WhatsApp, Facebook Messenger); this sparks protests that become the October Revolution
"
Lebanon,2019,October,Resistance,Nonviolent protest,Prime Minister resigned after weeks of anti-government protests
Lebanon,2020,May,Destabilizing Event,Economic shocks and health shocks,Coronavirus related lockdowns have caused economic conditions to deteriorate
Lebanon,2020,August,Resistance,Nonviolent protest,Mismanagement of the COVID-19 pandemic and the explosion in Beirut by the ruling government triggered massive and sustained protests calling for the resignation of government officials.
Lebanon,2020,August,Resistance,Pressure from outside actor,"Many nations and NGOs, including the USAID, have provided material aid to Lebanon in an attempt to address widespread poverty and food insecurity."
Lebanon,2020,August,Destabilizing Event,Economic shocks and health shocks,"The explosion of a large buildup of ammonium nitrate in the Port of Beirut killed 218, inflicted over 15 billion dollars in damages, and left over 300,000 residents homeless."
Lebanon,2020,August,Precursor,Lack of legitimacy,Prime Minister Hassan Diab stepped down from his role as prime minister after the failure of his government to prevent the deadly August 4th explosion and days of public protests against his government
Lebanon,2020,August,Destabilizing Event,External influence or Invasion,French President Emmanuel Macron tours Lebanon and calls for a new “political pact” to stabilize the state through a potential government overhaul
Lebanon,2020,August,Precursor,State-conducted violence or abuse,"Thousands of anti-government demonstrators were attacked by security forces, leading to 238 injuries."
Lebanon,2021,August,Destabilizing Event,Economic shocks and health shocks,"Fuel crisis coupled with extremely high inflation shocks Lebanon; the multidimensional poverty rate in Lebanon climbs to 82%; people are stuck without gasoline and electricity, some hospitals nearly had to shut down, and necessities like medicine and baby formula were difficult to find"
Lebanon,2021,September,Resistance,Coalitions or elite pacts,"A new coalition government was formedwith Michel Aoun as President and Najib Mikati as the new Prime Minster, ending a 13-month period of legislative deadlock."
Lebanon,2021,September,Precursor,Horizontal corruption,"Media investigation/watchdog project (the Pandora Papers) uncovers that many Lebanese top politicians have been offshoring their wealth, even as the country grapples with a terrible socioeconomic crisis; among the politicians exposed is Prime Minister Najib Mikati"
Liberia,2001,March,Resistance,Pressure from outside actor,The United Nations Security Council approved sanctions against Liberia for Liberia's support of the rebels fuelling civil war in Sierra Leone.
Liberia,2005,October,Resistance,Pressure from outside actor,The Nigerian government helped Libera estabilsh a temporary government before leaving in 2005 in time for Liberia to hold democratic elections.
Liberia,2010,June,Resistance,Pressure from outside actor,President Ellen Johnson Sirleaf negotiated $4.6 billion in debt forgiveness from the International Monetary Fund.
Liberia,2011,November,Symptom,Media repression,"Just before the runoff election, Sirleaf’s government shut down four radio stations and three television stations clearly favorable to opposition parties, citing abstract accusations of hate speech, misinformation, and the promotion of violence."
Liberia,2011,November,Symptom,No-confidence votes or decreased voter turnout,"Due to opposition anger at an unfair general election, voter turnout went from 71.6% in the general election to 38.6% in the runoff."
Liberia,2011,NA,Precursor,Vertical corruption,Unity Party officials illegally used state resources for campaigning efforts.
Liberia,2013,August,Symptom,Media repression,"The state jailed the editor of a prominent Liberian newspaper, FrontPage Africa, after he failed to pay 1.5 million US dollars in libel charges issued by a former agricultural minister. The newspaper was temporarily shut down."
Liberia,2014,July,Precursor,Economic shocks and health shocks,"The Ebola outbreak in West Africa affected Liberia, with 10,678 confirmed cases and 4,810 confirmed deaths. The effect on the healthcare system coupled with a drop in the prices of key exports of iron and rubber weakened the economy."
Liberia,2015,June,Symptom,Media repression,Police consistently harassed the publisher of Women Voices Newspaper for implicating government embezzlement of Ebola-related aid.
Liberia,2015,July,Symptom,Media repression,"An employee of the Nation Times was charged with defamation, believed to be in response to a series of articles critical of President Sirleaf's son."
Liberia,2016,March,Resistance,Pressure from outside actor,Liberian progress towards democratization and stabilility led the United Nations to lift sanctions in March 2016.
Liberia,2017,March,Precursor,External influence or Invasion,"The UN removes the majority of its peacekeeping troops and plans for a full departure, leaving complete, unprecedented power in the hands of the Liberian government."
Liberia,2017,October,Precursor,Electoral fraud and voter suppression,President Ellen Sirleaf's is accused by her own Unity Party of interfering with the presidential election after she meets with electoral officials before the vote.
Liberia,2019,March,Precursor,Horizontal corruption,"Charles Sirleaf, son of President Ellen Johnson Sirleaf and deputy-governor of Liberia's Central Bank, was charged with corruption in a case regarding missing banknotes from the Central Bank."
Liberia,2019,June,Resistance,Nonviolent protest,Growing protests against President George Weah's mishandling of the economy began in June 2019 and culminated in large protests in the capital of Monrovia in January 2020.
Liberia,2019,June,Symptom,Curtailed civil liberties,"In response to growing protests, President George Weah's government blocked access to popular social media platforms like WhatsApp, Twitter, and Facebook, to prevent the organization of further protests."
Liberia,2019,October,Symptom,Media repression,"The Weah Administration shuts down vocal critic Henry Costa's radio station, accusing him of treason and inciting violence."
Liberia,2019,Unknown,Symptom,Media repression,"In preparation for an opposition party rally (calling for economic reform and accountability for corrupt leaders) in June of 2019, the government partially restricted access to social media websites, such as WhatsApp and Facebook. Several instances of backsliding are observable from here onwards."
Liberia,2019,NA,Precursor,Horizontal corruption,"President George Weah fires James Verdier, head of the Liberian Anti-Corruption Commission, for speaking against the administration, and replaces him with someone more loyal."
Liberia,2020,January,Precursor,State-conducted violence or abuse,The Liberian government cracked down on peaceful protestors with tear gas and water cannons.
Liberia,2020,March,Precursor,Economic shocks and health shocks,The COVID pandemic caused further closuures of business and economic hardship.
Liberia,2020,Unknown,Resistance,Check on central power by subnational government,"The Deputy Director for Rural Broadcasting at Liberia Broadcasting Services, Boima J.V. Boima, made several public Facebook posts detailing his grievances in relation to President Weah’s actions in office. Included in these posts was an intention to resign later in the following year, December 2020. Boima had utilized his social media platform to express concerns about the government’s inadequacies regarding the 2019 Senatorial election that led to the ruling party’s loss and Senator Abraham Darius Dillon’s victory. Boima argued that Weah failed to prioritize the wellbeing of the Liberian people and failed many of his largest supporters in the process. His letter claimed that many of his counterparts had made sacrifices in hopes of Weah’s ‘revolution’, only for Weah and a few of his friends to get rich, and the rest to remain in their plight. Hours after posting his intention to resign, claiming that it would be “better [to] remain jobless”"
Liberia,2020,Unknown,Symptom,Curtailed civil liberties,Boima was fired by President Weah for his public critique of the President.
Liberia,2020,Unknown,Precursor,Extremist/populist parties,"He claimed that the opposition would do anything to lie about the reality of the government’s performance and that he was doing extremely well and, in fact, outdoing the performance of all previous Presidents. He went on to further assert that the CDC has a responsibility to make sure their government works but is exhausted of dealing with an opposition dedicated to his administration’s failure."
Liberia,2020,Unknown,Resistance,Check on executive by judiciary,"Nationwide legislative elections that will propose a lengthy referendum to Liberian citizens that will alter a variety of term limits, including that of the President, were scheduled for December 8, 2020, until the Supreme Court made a rather complicated decision contesting its constitutionality."
Libya,2011,February,Destabilizing Event,Civil war/revolution,The first Libyan civil war commences after the arrest of human rights lawyer Fathi Terbil.
Libya,2011,February,Destabilizing Event,Civil war/revolution,"The second Libyan civil war spanned from February 15, 2011, to October 23, 2011. Between the two civil wars, there were approximately 40,000 fatalities. This war was catalyzed by public disapproval of presidential campaigns."
Libya,2011,February,Destabilizing Event,Civil war/revolution,"The ending of the first Libyan civil war. The war ended with the death of dictator Muammar Gaddafi subsequent to a NATO-sanctioned attack. This event spanned from February 15, 2011, to October 23, 2011. There were 30,000 fatalities."
Libya,2011,February,Resistance,Post-democratic transition to new constitution,"Formation of the National Transitional Council led by anti-Gaddafi revolutionist, Mahmoud Jabril. This council was maintained for approximately one year. It was dissolved by Jabril subsequent conflict in Benghazi."
Libya,2011,October,Destabilizing Event,Coup or regime collapse,"The death of an authoritarian leader, Muammar Gaddafi, who held power for 42 years. He gained power via a military coup (al-Fateh Revolution) of King Idris."
Libya,2011,October,Destabilizing Event,External influence or Invasion,"Prior to the killing of Muammar Gaddafi, NATO had sanctioned an attack on Gaddafi and his higher-ups from Sirte to Misrata."
Libya,2011,Unknown,Destabilizing Event,Non-state violence,"From 2011 to 2014, the peak terrorism index went from 0.49 to 7.29 at the beginning of the second civil war. 
"
Libya,2014,May,Destabilizing Event,Civil war/revolution,"Beginning of the Second Libyan Civil War

The second Libyan civil war took place between 16 May 2014 and 23 October 2020. Between 2014 and 2016 the war focused on the conflict brewing between the Government of National Accord and the House of Representatives. The peak of the war occurs in 2016 during a September attack on oil facilities in the Sidra region by the Libyan National Army."
Libya,2014,June,Symptom,No-confidence votes or decreased voter turnout,The Libyan House of Representatives are elected which replaces the GNC. Low voter turn-out in these elections.
Libya,2016,January,Symptom,Media repression,The arrest and torture of a TV news respondent that spoke highly of the Tripoli government by the Torbruk government.
Libya,2018,August,Symptom,Media repression,"In 2018, the Tripoli government detained four journalists that were covering migration issues. The rationale for this arrest is that the Tripoli government suspected that they were employed by the Torbruk government."
Libya,2019,Unknown,Precursor,Electoral violence,The 2019 Libyan election was postponed due to conflicts even after this was the rescheduled year subsequent conflicts surrounding the 2018 election
Libya,2019,Unknown,Symptom,Media repression,"Death of  anti-Gaddafi activist, Jaballa Matar."
Libya,2021,September,Resistance,Nonviolent protest,"""Hundreds of protesters gathered in Libya’s capital of Tripoli on Friday to oppose a decision by the country’s lawmakers to pass a vote of no-confidence in the transitional government"""
Lithuania,2003,January,Precursor,Extremist/populist parties,"Rolandas Paksas, a populist who had formed the Liberal Democratic Party (LDP), unexpectedly won a runoff in the presidential election and assumed the office of the president."
Lithuania,2003,June,Resistance,State attempts to prevent backsliding,"The 2003 addendum to the Law on Public Service established the breach of public duties or ethics as grounds for administrative dismissal, and the supremacy of law and transparency were codified"
Lithuania,2003,October,Precursor,Extremist/populist parties,"Viktor Uspashich, a charismatic entrepreneur, formed the populist Labor party, which was largely made up of business leaders and interests."
Lithuania,2003,November,Precursor,Vertical corruption,"President Rolandas Paksas took a $400,000 campaign donation from Russian businessman Yuri Borisov in exchange for Paksas granting Borisov Lithuanian citizenship and providing classified government information."
Lithuania,2003,December,Resistance,Check on executive by judiciary,"The Lithuanian Constitutional Court ruled the president’s action of granting citizenship to Russian businessman Yuri Borisov unconstitutional, thus nullifying his action."
Lithuania,2003,Unknown,Precursor,Horizontal corruption,"Arturas Zuokas, mayor of Vilnius and leader of the Lithuanian Freedom Union had taken bribes and in exchange ensured that city government decisions would help certain business interests."
Lithuania,2003,Unknown,Precursor,Horizontal corruption,"Paksas was also accused of benefiting from a privatization deal of several prominent companies, using his political position and influence to direct shares to him and his allies."
Lithuania,2003,NA,Precursor,Horizontal corruption,"The President, Rolandas Paksas, took a donation of $400,000 from the owner of a helicopter manufacturer that had been accused of illegally selling arms to Sudan, and upon his win Paksas reinstated the owner's citizenship and appointed him as a special advisor"
Lithuania,2004,March,Precursor,Vertical corruption,"President Rolandas Paksas violated his oath and the Lithuanian Constitution through his dealings with a Lithuanian-Russian businessman, Yuri Borisov, a prominent campaign donor who received preferential treatment and lucrative business contracts.
"
Lithuania,2004,April,Resistance,Check on executive by legislature,"After former President Rolandas Pakas was accused of and indicted for corruption, he was impeached shortly by the legislature and was not permitted to try for a seat in parliament."
Lithuania,2004,April,Resistance,Check on executive by legislature,The Lithuanian Parliament impeached and removed Rolandas Paksas after finding him guilty of corruption and taking bribes.
Lithuania,2004,April,Resistance,Check on executive by legislature,The Lithuanian parliament impeached President Rolandas Paksas after he was charged with corruption
Lithuania,2004,May,Resistance,Pressure from outside actor,"The EU admitted Lithuania as a member state, which led to the implementation of political and economic reforms in the ensuing years."
Lithuania,2005,Unknown,Precursor,State-conducted violence or abuse,"The Lithuanian government operated a black site prison where they allowed the CIA to torture Abu Zubaydah, who was an alleged affiliate of Al-Qaeda"
Lithuania,2008,October,Precursor,Electoral fraud and voter suppression,"After an electoral upset, a vote recount of a parliamentary seat in Vilnius, Lithuania's capital, revealed a substantially different result, which led to accusations of voter fraud from multiple parties."
Lithuania,2008,Unknown,Precursor,Economic shocks and health shocks,"The global financial crisis caused Lithuania's economy to rapidly contract, with GDP falling by double-digit percentages in 2008 and 2009, which in turn led to widespread unemployment. It also led to the bursting of the housing bubble and requiring 7.5 billion euro of credit to help in recovery, and to large numbers of migration out of the country."
Lithuania,2009,January,Resistance,Violent protest,"7,000 people gathered to protest planned economic austerity measures while a smaller group began throwing eggs and stones through the windows of government buildings"
Lithuania,2010,January,Resistance,Exit of people or money,"As a result of prolonged economic contraction and instability, more than 83,000 Lithuanians left the country during 2010."
Lithuania,2010,March,Resistance,Check on central power by subnational government,Centrally-appointment bureaucrats were replaced by locally-elected municipal leaders.
Lithuania,2010,Unknown,Resistance,Increase in electoral integrity,The government modified electoral rules to allow candidates unaffiliated with a political party to run in elections
Lithuania,2011,March,Symptom,Media repression,"The journalist Gintaras Visockas wrote an article that implied that the former Presidential candidate Ceslovas Jezerkas was controlled by the KGB; Jezerkas sued and Visockas was sentenced with a fine that he could not pay, so he went to jail for 40 days"
Lithuania,2012,October,Precursor,Electoral fraud and voter suppression,The parliamentary elections were marked by irregularities and vote buying allegations from the Labour Party and had to recast elections.
Lithuania,2012,October,Precursor,Electoral fraud and voter suppression,President Dalia Grybauskaite accused the Labor Party of interfering in the electoral process during the 2012 parliamentary elections and suspended coalition talks.
Lithuania,2012,October,Precursor,Electoral fraud and voter suppression,The police received over 500 reports of electoral fraud during the 2012 parliamentary election. There were allegations that the Labor Party was engaged in vote-buying and compromised the election result in three districts
Lithuania,2012,October,Resistance,Check on central power by civil service,The Central Election Commission annulled the results for the 2012 parliamentary election in three single-member districts over allegations of vote-buying
Lithuania,2012,October,Precursor,Extremist/populist parties,"The consequences of the economic crisis of 2008 led to rising populism and support for left-wing ideals to protest austerity, which led to huge gains for left-leaning and populist parties in the election of this year"
Lithuania,2012,October,Resistance,Increase in electoral integrity,Elections of two constituencies were annulled and repeated due to fraud allegations.
Lithuania,2013,June,Precursor,External influence or Invasion,Lithuania's state security department reported that Russian security made efforts to influence government decision-making and inflame existing ethnic tensions in the country.
Lithuania,2013,July,Resistance,Check on executive by judiciary,"A court found Vitalija Vonzutaite, a parliamentarian, Marina Liutkeviciene, an accountant, Vytautas Gapsys, a parliamentarian, and Viktor Uspaskich, a parliamentarian and founder of the Labor Party, guilty of participating in a fraud scheme that benefited their own party. Three of the four were sentenced to years in prison and the last was required to pay a fine."
Lithuania,2013,November,Symptom,Media repression,"The Special Investigation Service (SIS) raided the headquarters of the Baltic News
Service (BNS); journalists were questioned, their computers were seized, and their homes were searched due to allegations that journalists had gained access to a leaked document showing evidence of smear campaign against President Dalia Grybauskaite."
Lithuania,2013,November,Resistance,Nonviolent protest,"Immediately after the Special Investigative Service raided the Baltic News Service (BNS) office in Vilnius, journalists rallied in support of the BNS and protested against the censorship of the free press."
Lithuania,2013,November,Resistance,Nonviolent protest,"Dozens of journalists rallied outside of the Lithuanian Special Investigation Service (SIS) building to protest the detainment and searches of journalists, leading to a decreased aggression of defamation laws."
Lithuania,2014,March,Precursor,External influence or Invasion,A Russian TV station broadcasting in Lithuania lied about events related to Lithuania’s struggle for independence from the Soviet Union.
Lithuania,2014,March,Symptom,Media repression,"Lithuania banned broadcasts from NTV Mir, a Russian TV station, for three months after the program appeared to lie about events related to Lithuania’s struggle for independence from the Soviet Union."
Lithuania,2014,March,Resistance,State attempts to prevent backsliding,"The state banned broadcasts of a Russian TV channel for three months for showing a film that authorities claimed lied about events in 1991, when the Soviet army tried unsuccessfully to remove its pro-independence government."
Lithuania,2014,June,Resistance,Increase in civic capacity,Municipal elections were altered so that mayors were now elected by popular vote rather than by municipal council
Lithuania,2014,Unknown,Precursor,Increased surveillance,The Special Investigation Services wiretapped 17 Baltic News Service (BNS) journalists after BNS published an article containing a secret government report on Russia
Lithuania,2015,April,Precursor,External influence or Invasion,"RTR Planeta, a Russian-owned TV channel, was found by Lithuanian media regulators to be inciting hatred and violence related to the Ukraine crisis."
Lithuania,2015,April,Symptom,Media repression,"Lithuania blocked broadcasts RTR Planeta, a Russian TV channel, on the grounds that the channel had incited hatred and violence regarding the Ukraine crisis."
Lithuania,2015,April,Resistance,State attempts to prevent backsliding,The state banned a Russian-backed and funded channel for spreading misinformation in the context of the Russia-Ukraine conflict.
Lithuania,2015,June,Resistance,Increase in media protections/media liberalization,"Seimas (Parliament) repealed articles 155 and 290, which criminalized insults and insults to public servants with up to two years in prison."
